DATA;USUARIO;CPSSOA_JURID;CUND_ORGNZ
03/11/2022;F146180;0;0
03/11/2022;F182631;0;0
03/11/2022;F195717;0;0
03/11/2022;F212590;0;0
03/11/2022;F214010;0;0
03/11/2022;F251064;0;0
03/11/2022;F252664;0;0
03/11/2022;F252761;0;0
03/11/2022;F254152;0;0
03/11/2022;F254829;0;0
03/11/2022;F259022;0;0
03/11/2022;F266487;0;0
03/11/2022;F290701;0;0
03/11/2022;F303293;0;0
03/11/2022;F310451;0;0
03/11/2022;F319459;0;0
03/11/2022;F351956;0;0
03/11/2022;F357857;0;0
03/11/2022;F364730;0;0
03/11/2022;F364977;0;0
03/11/2022;F366937;0;0
03/11/2022;F368662;0;0
03/11/2022;F371299;0;0
03/11/2022;F371965;0;0
03/11/2022;F378943;0;0
03/11/2022;F383041;0;0
03/11/2022;F402747;0;0
03/11/2022;F473849;0;0
03/11/2022;F476961;0;0
03/11/2022;F487211;0;0
03/11/2022;F543561;0;0
03/11/2022;F556302;0;0
03/11/2022;F563287;0;0
03/11/2022;F586856;0;0
03/11/2022;F597564;0;0
03/11/2022;F597963;0;0
03/11/2022;F622860;0;0
03/11/2022;F627501;0;0
03/11/2022;F661815;0;0
03/11/2022;F666337;0;0
03/11/2022;F668216;0;0
03/11/2022;F684602;0;0
03/11/2022;F685978;0;0
03/11/2022;F693997;0;0
03/11/2022;F697941;0;0
03/11/2022;F697968;0;0
03/11/2022;F706070;0;0
03/11/2022;F743676;0;0
03/11/2022;F760635;0;0
03/11/2022;F761755;0;0
03/11/2022;F772323;0;0
03/11/2022;F772765;0;0
03/11/2022;F772765;2269651;06934
03/11/2022;F772765;2269651;08606
03/11/2022;F813240;0;0
03/11/2022;F825400;0;0
03/11/2022;F829961;0;0
03/11/2022;F848052;0;0
03/11/2022;F850588;0;0
03/11/2022;F854737;0;0
03/11/2022;F856144;0;0
03/11/2022;F869203;0;0
03/11/2022;F875963;0;0
03/11/2022;F884369;0;0
03/11/2022;F927165;0;0
03/11/2022;F927440;0;0
03/11/2022;F927661;0;0
03/11/2022;F927726;0;0
03/11/2022;F933360;0;0
03/11/2022;F937535;0;0
03/11/2022;F950914;0;0
03/11/2022;F955584;0;0
03/11/2022;F958796;0;0
03/11/2022;F963234;0;0
03/11/2022;F964486;0;0
03/11/2022;F969372;0;0
03/11/2022;F973361;0;0
03/11/2022;F976956;0;0
03/11/2022;F985670;0;0
03/11/2022;G412584;0;0
03/11/2022;G499213;0;0
03/11/2022;G499213;2269651;00002
03/11/2022;G499213;2269651;02856
03/11/2022;G499213;2269651;06932
03/11/2022;G499213;2269651;04202
03/11/2022;G499213;2269651;04264
03/11/2022;G499213;2269651;04343
03/11/2022;G499213;2269651;08296
03/11/2022;G534841;0;0
03/11/2022;G545207;0;0
03/11/2022;G558899;0;0
03/11/2022;H903972;0;0
03/11/2022;H904235;0;0
03/11/2022;H905355;0;0
03/11/2022;H906874;0;0
03/11/2022;H906947;0;0
03/11/2022;H914290;0;0
03/11/2022;H921814;0;0
03/11/2022;H922012;0;0
03/11/2022;H943230;0;0
03/11/2022;H944172;0;0
03/11/2022;H947821;0;0
03/11/2022;H964602;0;0
03/11/2022;H966427;0;0
03/11/2022;H966737;0;0
03/11/2022;H993025;0;0
03/11/2022;I013059;0;0
03/11/2022;I013580;0;0
03/11/2022;I013660;0;0
03/11/2022;I018611;0;0
03/11/2022;I040595;0;0
03/11/2022;I042890;0;0
03/11/2022;I057323;0;0
03/11/2022;I057552;0;0
03/11/2022;I059229;0;0
03/11/2022;I059857;0;0
03/11/2022;I063900;0;0
03/11/2022;I066179;0;0
03/11/2022;I066900;0;0
03/11/2022;I070605;0;0
03/11/2022;I070605;2269651;02856
03/11/2022;I070605;2269651;04343
03/11/2022;I075178;0;0
03/11/2022;I094547;0;0
03/11/2022;I095624;0;0
03/11/2022;I101667;0;0
03/11/2022;I101799;0;0
03/11/2022;I105697;0;0
03/11/2022;I107622;0;0
03/11/2022;I113185;0;0
03/11/2022;I124748;0;0
03/11/2022;I125507;0;0
03/11/2022;I126210;0;0
03/11/2022;I131116;0;0
03/11/2022;I138854;0;0
03/11/2022;I164740;0;0
03/11/2022;I169636;0;0
03/11/2022;I180710;0;0
03/11/2022;I193774;0;0
03/11/2022;I194290;0;0
03/11/2022;I194371;0;0
03/11/2022;I197591;0;0
03/11/2022;I204660;0;0
03/11/2022;I214623;0;0
03/11/2022;I217541;0;0
03/11/2022;I239197;0;0
03/11/2022;I246134;0;0
03/11/2022;I249141;0;0
03/11/2022;I268723;0;0
03/11/2022;I274200;0;0
03/11/2022;I281835;0;0
03/11/2022;I287450;0;0
03/11/2022;I291882;0;0
03/11/2022;I292111;0;0
03/11/2022;I292465;0;0
03/11/2022;I292548;0;0
03/11/2022;I293486;0;0
03/11/2022;I293815;0;0
03/11/2022;I294894;0;0
03/11/2022;I294924;0;0
03/11/2022;I295099;0;0
03/11/2022;I295145;0;0
03/11/2022;I295746;0;0
03/11/2022;I296214;0;0
03/11/2022;I296328;0;0
03/11/2022;I296554;0;0
03/11/2022;I297063;0;0
03/11/2022;I297950;0;0
03/11/2022;I298445;0;0
03/11/2022;I298512;0;0
03/11/2022;I299408;0;0
03/11/2022;I300361;0;0
03/11/2022;I301198;0;0
03/11/2022;I301996;0;0
03/11/2022;I302027;0;0
03/11/2022;I302639;0;0
03/11/2022;I303035;0;0
03/11/2022;I304040;0;0
03/11/2022;I304279;0;0
03/11/2022;I304500;0;0
03/11/2022;I305655;0;0
03/11/2022;I306874;0;0
03/11/2022;I307614;0;0
03/11/2022;I308075;0;0
03/11/2022;I308595;0;0
03/11/2022;I308595;2269651;00119
03/11/2022;I308595;2269651;00797
03/11/2022;I308595;2269651;04285
03/11/2022;I308595;2269651;04737
03/11/2022;I310707;0;0
03/11/2022;I310714;0;0
03/11/2022;I313097;0;0
03/11/2022;I313299;0;0
03/11/2022;I313322;0;0
03/11/2022;I313878;0;0
03/11/2022;I314107;0;0
03/11/2022;I314992;0;0
03/11/2022;I315003;0;0
03/11/2022;I317437;0;0
03/11/2022;I318482;0;0
03/11/2022;I318768;0;0
03/11/2022;I318825;0;0
03/11/2022;I318957;0;0
03/11/2022;I318978;0;0
03/11/2022;I320606;0;0
03/11/2022;I322505;0;0
03/11/2022;I322520;0;0
03/11/2022;I322597;0;0
03/11/2022;I323112;0;0
03/11/2022;I324029;0;0
03/11/2022;I325933;0;0
03/11/2022;I326236;0;0
03/11/2022;I326531;0;0
03/11/2022;I326904;0;0
03/11/2022;I326994;0;0
03/11/2022;I327301;0;0
03/11/2022;I328070;0;0
03/11/2022;I328165;0;0
03/11/2022;I330118;0;0
03/11/2022;I330295;0;0
03/11/2022;I331030;0;0
03/11/2022;I332382;0;0
03/11/2022;I333173;0;0
03/11/2022;I333774;0;0
03/11/2022;I334270;0;0
03/11/2022;I334325;0;0
03/11/2022;I334991;0;0
03/11/2022;I335155;0;0
03/11/2022;I335316;0;0
03/11/2022;I335719;0;0
03/11/2022;I336689;0;0
03/11/2022;I338536;0;0
03/11/2022;I339978;0;0
03/11/2022;I340254;0;0
03/11/2022;I343854;0;0
03/11/2022;I345200;0;0
03/11/2022;I352050;0;0
03/11/2022;I352115;0;0
03/11/2022;I352762;0;0
03/11/2022;I353038;0;0
03/11/2022;I354195;0;0
03/11/2022;I354861;0;0
03/11/2022;I354899;0;0
03/11/2022;I355127;0;0
03/11/2022;I355269;0;0
03/11/2022;I355450;0;0
03/11/2022;I356464;0;0
03/11/2022;I357255;0;0
03/11/2022;I357450;0;0
03/11/2022;I357766;0;0
03/11/2022;I358158;0;0
03/11/2022;I358207;0;0
03/11/2022;I358341;0;0
03/11/2022;I358419;0;0
03/11/2022;I359386;0;0
03/11/2022;I360719;0;0
03/11/2022;I360864;0;0
03/11/2022;I360899;0;0
03/11/2022;I361394;0;0
03/11/2022;I362657;0;0
03/11/2022;I363148;0;0
03/11/2022;I363195;0;0
03/11/2022;I364044;0;0
03/11/2022;I364851;0;0
03/11/2022;I365403;0;0
03/11/2022;I365711;0;0
03/11/2022;I365884;0;0
03/11/2022;I367730;0;0
03/11/2022;I368077;0;0
03/11/2022;I368568;0;0
03/11/2022;I368740;0;0
03/11/2022;I368988;0;0
03/11/2022;I369388;0;0
03/11/2022;I369633;0;0
03/11/2022;I370544;0;0
03/11/2022;I370579;0;0
03/11/2022;I371775;0;0
03/11/2022;I372373;0;0
03/11/2022;I373635;0;0
03/11/2022;I374608;0;0
03/11/2022;I375928;0;0
03/11/2022;I377615;0;0
03/11/2022;I377645;0;0
03/11/2022;I378667;0;0
03/11/2022;I378880;0;0
03/11/2022;I379173;0;0
03/11/2022;I379204;0;0
03/11/2022;I379639;0;0
03/11/2022;I383634;0;0
03/11/2022;I384309;0;0
03/11/2022;I384790;0;0
03/11/2022;I385855;0;0
03/11/2022;I386530;0;0
03/11/2022;I387666;0;0
03/11/2022;I388072;0;0
03/11/2022;I388127;0;0
03/11/2022;I388356;0;0
03/11/2022;I388395;0;0
03/11/2022;I388837;0;0
03/11/2022;I389141;0;0
03/11/2022;I389167;0;0
03/11/2022;I389196;0;0
03/11/2022;I389528;0;0
03/11/2022;I390156;0;0
03/11/2022;I390268;0;0
03/11/2022;I390299;0;0
03/11/2022;I390452;0;0
03/11/2022;I390647;0;0
03/11/2022;I390716;0;0
03/11/2022;I391265;0;0
03/11/2022;I391321;0;0
03/11/2022;I391887;0;0
03/11/2022;I392481;0;0
03/11/2022;I392533;0;0
03/11/2022;I392773;0;0
03/11/2022;I393393;0;0
03/11/2022;I395100;0;0
03/11/2022;I395387;0;0
03/11/2022;I396034;0;0
03/11/2022;I396917;0;0
03/11/2022;I397846;0;0
03/11/2022;I398046;0;0
03/11/2022;I398428;0;0
03/11/2022;I398745;0;0
03/11/2022;I398784;0;0
03/11/2022;I398920;0;0
03/11/2022;I399646;0;0
03/11/2022;I399813;0;0
03/11/2022;I400351;0;0
03/11/2022;I400617;0;0
03/11/2022;I400946;0;0
03/11/2022;I400990;0;0
03/11/2022;I401366;0;0
03/11/2022;I401418;0;0
03/11/2022;I401830;0;0
03/11/2022;I402171;0;0
03/11/2022;I402335;0;0
03/11/2022;I402435;0;0
03/11/2022;I405390;0;0
03/11/2022;I407852;0;0
03/11/2022;I407852;2269651;00002
03/11/2022;I407852;2269651;01382
03/11/2022;I407852;2269651;02516
03/11/2022;I407852;2269651;04202
03/11/2022;I407852;2269651;04308
03/11/2022;I407852;2269651;08834
03/11/2022;I410069;0;0
03/11/2022;I412361;0;0
03/11/2022;I412722;0;0
03/11/2022;I414611;0;0
03/11/2022;I414805;0;0
03/11/2022;I416041;0;0
03/11/2022;I417284;0;0
03/11/2022;I418967;0;0
03/11/2022;I419099;0;0
03/11/2022;I419158;0;0
03/11/2022;I419784;0;0
03/11/2022;I420012;0;0
03/11/2022;I421012;0;0
03/11/2022;I421012;2269651;02856
03/11/2022;I421012;2269651;04343
03/11/2022;I421804;0;0
03/11/2022;I422408;0;0
03/11/2022;I423266;0;0
03/11/2022;I424628;0;0
03/11/2022;I425141;0;0
04/11/2022;C858421;0;0
04/11/2022;D347390;0;0
04/11/2022;D384695;0;0
04/11/2022;E285003;0;0
04/11/2022;E449227;0;0
04/11/2022;E449227;2269651;02856
04/11/2022;E449227;2269651;04343
04/11/2022;E482321;0;0
04/11/2022;E614406;0;0
04/11/2022;E792649;0;0
04/11/2022;E890551;0;0
04/11/2022;E897033;0;0
