"Country","Year","Continent","Least.Developed","Life.Expectancy","Population","CO2.emissions","Health.expenditure","Electric.power.consumption","Forest.area","GDP.per.capita","Individuals.using.the.Internet","Military.expenditure","People.practicing.open.defecation","People.using.at.least.basic.drinking.water.services","Obesity.among.adults","Beer.consumption.per.capita","ZPopulation","ZCO2.emissions","ZHealth.expenditure","ZElectric.power.consumption","ZForest.area","ZGDP.per.capita","ZIndividuals.using.the.Internet","ZMilitary.expenditure","ZPeople.practicing.open.defecation","ZPeople.using.at.least.basic.drinking.water.services","ZObesity.among.adults","ZBeer.consumption.per.capita","cluster0","cluster1","cluster2","cluster3","cluster4"
"Chile",2015,"South America",FALSE,79.646,17969356,4.576124117,8.30269146,3879.67342,23.66553154,22566.17765,76.62959195,1.898487266,0.183789356,99.50649272,28.3,2.85,-0.210944700414516,-0.0873305632416916,0.684369665711711,-0.0133024262036337,-0.319324711206811,0.0415840072674406,0.921466239324541,-0.128421365172001,-0.489260365895916,0.661714921857242,0.984916940478409,0.331674032260992,"1","3","1","1","3"
"China",2015,"Asia",FALSE,75.928,1379860000,7.146449357,4.93827963,3905.317598,22.31309418,12897.50229,50.3,1.750717767,0.672948193,91.76264123,6.2,1.73,7.46783246635185,0.384153395960619,-0.649394571559228,-0.00742359179752044,-0.385084888623741,-0.451902059722738,-0.0377376763005527,-0.169883809684204,-0.453550047197501,0.141817866552,-1.51000991539153,-0.288406133537086,"3","7","4","2","8"
"Colombia",2015,"South America",FALSE,76.531,47520667,1.688318124,7.52338552,1312.199493,54.19978369,13265.79726,55.90497251,3.109960084,3.853317323,96.33586812,21.6,3.2,-0.0443249111131282,-0.617051153382961,0.375426990086648,-0.60188647279878,1.1653561310004,-0.433104403428529,0.166455065796349,0.211504159610131,-0.221371894376151,0.448849476910756,0.228536400463542,0.525449084072891,"1","6","1","1","1"
"Congo Dem. Rep.",2015,"Africa",TRUE,58.828,73767445,0.069678432,3.97874045,117.0283067,58.56222668,849.7608186,3,0.95024714,11.65966735,42.08531377,5.3,0.55,0.103662859047062,-0.913964025975758,-1.02978767062412,-0.875875114244632,1.37747318239096,-1.06681489250148,-1.76090700210041,-0.394486783777228,0.348519164007302,-3.19335666452469,-1.61161327151293,-0.941704879645775,"1","2","2","1","2"
"Congo Rep.",2015,"Africa",TRUE,62.582,4736965,1.095638253,1.97311711,213.0763092,64.50073206,5931.133916,7.11,5.007370687,8.731874759,70.10704061,8,3.87,-0.285553173804194,-0.725768543606541,-1.82488316412911,-0.853856459494401,1.66622383283159,-0.80746325110501,-1.61117706702563,0.743896042753443,0.134779988510269,-1.31206887284935,-1.30680320314873,0.896389897541384,"1","2","2","1","2"
"Costa Rica",2015,"North America",FALSE,79.565,4847805,1.55534308,7.59196186,1942.4906,57.83450842,17090.79658,59.76295014,0,0.265891194,99.37868682,24.8,2.26,-0.284928222259873,-0.64144324168546,0.402612921665938,-0.457394532144695,1.34208900616033,-0.237877673769575,0.307003664351065,-0.661115347735003,-0.483266642428327,0.653134448542841,0.589792777784075,0.00502465920664687,"1","6","1","1","7"
"Cote d'Ivoire",2015,"Africa",FALSE,56.065,23226148,0.422368807,3.21990895,274.7302239,10.69544025,4652.889619,16.7,1.719446027,27.55558706,71.0757669,8.7,1.03,-0.181305217569196,-0.849268768041183,-1.33061360037204,-0.839722524103299,-0.949975364294496,-0.872704427097825,-1.26180721851779,-0.178658305052494,1.50897731361344,-1.24703173387294,-1.22777837060986,-0.675956237160885,"1","2","2","1","6"
"Croatia",2015,"Europe",FALSE,77.27560976,4203604,3.948992432,6.78702879,3714.382988,34.34350654,23301.27286,69.84503592,1.783240088,0,98.814,26.5,4.55,-0.28856043454608,-0.202367573026888,0.0835108032541427,-0.0511946557242258,0.199875328086357,0.0791030293195181,0.674300513318907,-0.160758415479067,-0.50267763648309,0.615223208216654,0.781710228235609,1.27286714106165,"1","6","1","1","7"
"Cyprus",2015,"Europe",FALSE,80.35,1160987,5.900152116,6.75352287,3624.933502,18.69155844,31815.27344,71.71574092,1.653213363,0,99.78851757,22.2,2.85,-0.30571568709866,0.155540631947301,0.0702279472629781,-0.0717006245997321,-0.561176469518959,0.513654868546468,0.74245149584788,-0.197242438954142,-0.50267763648309,0.680649154935865,0.296271971211141,0.331674032260992,"1","3","1","1","3"
"Czechia",2015,"Europe",FALSE,78.57804878,10546059,9.400668002,7.19641542,6258.891037,34.5601606,33899.28657,75.6688387,0.946582096,0,99.88009269,28,6.87,-0.252799634771291,0.797652790944683,0.245805217226308,0.532124546984991,0.210409797071818,0.620022225478762,0.886465382452183,-0.395515153532239,-0.50267763648309,0.686797211273039,0.951049155104609,2.55731891307195,"1","3","1","1","7"
