Data;Usuario;Empresa;Unidade
19/08/2022;I920165;2269651;G08608
20/08/2022;I900965;0;0
20/08/2022;I900965;2269651;A00002
20/08/2022;I900965;2269651;D00000
20/08/2022;I900965;2269651;G04202
20/08/2022;I922565;0;0
20/08/2022;I922565;2269651;A00002
20/08/2022;I922565;2269651;G04202
22/08/2022;I900665;0;0
22/08/2022;I900665;2269651;A00002
22/08/2022;I900665;2269651;D04651
22/08/2022;I900665;2269651;G04202
22/08/2022;I900965;0;0
22/08/2022;I900965;2269651;A00002
22/08/2022;I900965;2269651;D00000
22/08/2022;I900965;2269651;G04202
22/08/2022;I901865;0;0
22/08/2022;I901865;2269651;A00002
22/08/2022;I901865;2269651;G04202
22/08/2022;I918865;0;0
22/08/2022;I920165;0;0
22/08/2022;I920165;2269651;A00283
22/08/2022;I920165;2269651;A06932
22/08/2022;I920165;2269651;D04696
22/08/2022;I920165;2269651;G04035
22/08/2022;I920165;2269651;G08608
22/08/2022;I922365;0;0
22/08/2022;I922365;2269651;A00002
22/08/2022;I922365;2269651;G04202
23/08/2022;I900265;0;0
23/08/2022;I900265;2269651;A00002
23/08/2022;I900265;2269651;A00283
23/08/2022;I900265;2269651;A02516
23/08/2022;I900265;2269651;A03657
23/08/2022;I900265;2269651;D00000
23/08/2022;I900265;2269651;D04641
23/08/2022;I900265;2269651;G04035
23/08/2022;I900265;2269651;G04202
23/08/2022;I900265;2269651;G08596
23/08/2022;I900265;2269651;G08757
23/08/2022;I900665;0;0
23/08/2022;I900665;2269651;A00002
23/08/2022;I900665;2269651;A03644
23/08/2022;I900665;2269651;A03657
23/08/2022;I900665;2269651;A06932
23/08/2022;I900665;2269651;A06933
23/08/2022;I900665;2269651;G04202
23/08/2022;I900665;2269651;G08595
23/08/2022;I900665;2269651;G08596
23/08/2022;I900665;2269651;G08608
23/08/2022;I900965;0;0
23/08/2022;I900965;2269651;A00002
23/08/2022;I900965;2269651;D04651
23/08/2022;I900965;2269651;G04202
23/08/2022;I920165;0;0
23/08/2022;I920165;2269651;A00002
23/08/2022;I920165;2269651;A06932
23/08/2022;I920165;2269651;G04202
23/08/2022;I920165;2269651;G08608
23/08/2022;I921465;0;0
23/08/2022;I921465;2269651;A03994
23/08/2022;I921465;2269651;G04303
23/08/2022;I921465;2269651;G04308
23/08/2022;I921865;0;0
23/08/2022;I921865;2269651;A02516
23/08/2022;I921865;2269651;G08757
23/08/2022;I922265;0;0
23/08/2022;I922265;2269651;A00002
23/08/2022;I922265;2269651;G04202
23/08/2022;I922365;0;0
23/08/2022;I922365;2269651;A00002
23/08/2022;I922365;2269651;G04202
23/08/2022;I922565;0;0
23/08/2022;I922565;2269651;A00002
23/08/2022;I922565;2269651;G04202
24/08/2022;I900665;0;0
24/08/2022;I900665;2269651;A00002
24/08/2022;I900665;2269651;G04202
24/08/2022;I900765;0;0
24/08/2022;I900765;2269651;A00002
24/08/2022;I900765;2269651;G04202
24/08/2022;I900965;0;0
24/08/2022;I900965;0;A00002
24/08/2022;I900965;2269651;A00002
24/08/2022;I900965;2269651;A00004
24/08/2022;I900965;2269651;A00011
24/08/2022;I900965;2269651;D00000
24/08/2022;I900965;2269651;D04651
24/08/2022;I900965;2269651;G04202
24/08/2022;I917465;0;0
24/08/2022;I917465;2269651;A00002
24/08/2022;I917465;2269651;G04202
24/08/2022;I920165;0;0
24/08/2022;I920165;2269651;A06932
24/08/2022;I920165;2269651;G08608
24/08/2022;I922365;0;0
24/08/2022;I922365;2269651;A00002
24/08/2022;I922365;2269651;G04202
24/08/2022;I922565;0;0
24/08/2022;I922565;2269651;A00002
24/08/2022;I922565;2269651;G04202
25/08/2022;I900665;0;0
25/08/2022;I900665;2269651;A00002
25/08/2022;I900665;2269651;D04651
25/08/2022;I900665;2269651;G04202
25/08/2022;I900965;0;0
25/08/2022;I900965;2269651;A00002
25/08/2022;I900965;2269651;A00283
25/08/2022;I900965;2269651;D00000
25/08/2022;I900965;2269651;G04035
26/08/2022;I900665;0;0
26/08/2022;I900665;2269651;A00002
26/08/2022;I900665;2269651;A00428
26/08/2022;I900665;2269651;A02516
26/08/2022;I900665;2269651;A03100
26/08/2022;I900665;2269651;D00000
26/08/2022;I900665;2269651;G04202
26/08/2022;I900665;2269651;G04262
26/08/2022;I900665;2269651;G04506
26/08/2022;I900665;2269651;G04566
26/08/2022;I900665;2269651;G08608
26/08/2022;I900665;2269651;G08757
26/08/2022;I900965;0;0
